400DN00500SE, 400CN0300DSR,    23,    5, 400DN0050DSE,  3440,        M,   23,
400DN00500SS, 400CN0060GNS,    23,    5, 400DN0050DSS,  3138,        M,   23,
400DN00501ER, 400CN0200DER,    25,    1, 400DN0050DER,  3897,        M,   25,
400DN00501NC, 400CN0280DSC,    25,    1, 400DN0050DNC,  3407,        M,   25,
400DN00501NS, 400CN0060GNS,    1,    1, 400DN0050DNS,  3117,        M,   1,
400DN00501SC, 400CN0280DSC,    27,    1, 400DN0050DSC,  3411,        M,   27,
400DN00501SE, 400CN0300DSR,    13,    1, 400DN0050DSE,  3431,        M,   13,
400DN00501SS, 400CN0060GNS,    13,    1, 400DN0050DSS,  3129,        M,   13,
400DN00502NC, 400CN0280DSC,    35,    1, 400DN0050DNC,  3408,        M,   35,
400DN00502NS, 400CN0060GNS,    7,    1, 400DN0050DNS,  3118,        M,   7,
400DN00502SC, 400CN0280DSC,    37,    1, 400DN0050DSC,  3412,        M,   37,
400DN00502SE, 400CN0300DSR,    19,    1, 400DN0050DSE,  3432,        M,   19,
400DN00502SS, 400CN0060GNS,    19,    1, 400DN0050DSS,  3130,        M,   19,
400DN00503ER, 400CN0200DER,    26,    2, 400DN0050DER,  3898,        M,   26,
400DN00503NC, 400CN0280DSC,    26,    2, 400DN0050DNC,  3409,        M,   26,
400DN00503NS, 400CN0060GNS,    2,    2, 400DN0050DNS,  3119,        M,   2,
400DN00503SC, 400CN0280DSC,    28,    2, 400DN0050DSC,  3413,        M,   28,
400DN00503SE, 400CN0300DSR,    14,    2, 400DN0050DSE,  3433,        M,   14,
400DN00503SS, 400CN0060GNS,    14,    2, 400DN0050DSS,  3131,        M,   14,
400DN00504NC, 400CN0280DSC,    36,    2, 400DN0050DNC,  3410,        M,   36,
400DN00504NS, 400CN0060GNS,    8,    2, 400DN0050DNS,  3120,        M,   8,
400DN00504SC, 400CN0280DSC,    38,    2, 400DN0050DSC,  3414,        M,   38,
400DN00504SE, 400CN0300DSR,    20,    2, 400DN0050DSE,  3434,        M,   20,
400DN00504SS, 400CN0060GNS,    20,    2, 400DN0050DSS,  3132,        M,   20,
400DN00505NS, 400CN0060GNS,    3,    3, 400DN0050DNS,  3121,        M,   3,
400DN00505SC, 400CN0280DSC,    29,    3, 400DN0050DSC,  3415,        M,   29,
400DN00505SE, 400CN0300DSR,    15,    3, 400DN0050DSE,  3435,        M,   15,
400DN00505SS, 400CN0060GNS,    15,    3, 400DN0050DSS,  3133,        M,   15,
400DN00506NS, 400CN0060GNS,    9,    3, 400DN0050DNS,  3122,        M,   9,
400DN00506SC, 400CN0280DSC,    39,    3, 400DN0050DSC,  3416,        M,   39,
400DN00506SE, 400CN0300DSR,    21,    3, 400DN0050DSE,  3436,        M,   21,
400DN00506SS, 400CN0060GNS,    21,    3, 400DN0050DSS,  3134,        M,   21,
400DN00507NS, 400CN0060GNS,    4,    4, 400DN0050DNS,  3123,        M,   4,
400DN00507SE, 400CN0300DSR,    16,    4, 400DN0050DSE,  3437,        M,   16,
400DN00507SS, 400CN0060GNS,    16,    4, 400DN0050DSS,  3135,        M,   16,
400DN00508NS, 400CN0060GNS,    10,    4, 400DN0050DNS,  3124,        M,   10,
400DN00508SE, 400CN0300DSR,    22,    4, 400DN0050DSE,  3438,        M,   22,
400DN00508SS, 400CN0060GNS,    22,    4, 400DN0050DSS,  3136,        M,   22,
400DN00509NS, 400CN0060GNS,    5,    5, 400DN0050DNS,  3125,        M,   5,
400DN00509SE, 400CN0300DSR,    17,    5, 400DN0050DSE,  3439,        M,   17,
400DN00509SS, 400CN0060GNS,    17,    5, 400DN0050DSS,  3137,        M,   17,
400DN0050ANS, 400CN0060GNS,    6,    6, 400DN0050DNS,  3127,        M,   6,
400DN0050ASS, 400CN0060GNS,    18,    6, 400DN0050DSS,  3139,        M,   18,
400DN0050BNS, 400CN0060GNS,    12,    6, 400DN0050DNS,  3128,        M,   12,
400DN0050BSS, 400CN0060GNS,    24,    6, 400DN0050DSS,  3140,        M,   24,
400DN00580SS, 400CN0065DSR,    39,    5, 400DN0058DSS,  3184,        M,   39,
400DN00581SS, 400CN0065DSR,    25,    1, 400DN0058DSS,  3175,        M,   25,
400DN00582SS, 400CN0065DSR,    35,    1, 400DN0058DSS,  3176,        M,   35,
400DN00583SS, 400CN0065DSR,    26,    2, 400DN0058DSS,  3177,        M,   26,
400DN00584SS, 400CN0065DSR,    36,    2, 400DN0058DSS,  3178,        M,   36,
400DN00585SS, 400CN0065DSR,    27,    3, 400DN0058DSS,  3179,        M,   27,
400DN00586SS, 400CN0065DSR,    37,    3, 400DN0058DSS,  3180,        M,   37,
400DN00587SS, 400CN0065DSR,    28,    4, 400DN0058DSS,  3181,        M,   28,
400DN00588SS, 400CN0065DSR,    38,    4, 400DN0058DSS,  3182,        M,   38,
400DN00589SS, 400CN0065DSR,    29,    5, 400DN0058DSS,  3183,        M,   29,
400DN0058ASS, 400CN0065DSR,    30,    6, 400DN0058DSS,  3185,        M,   30,
400DN0058BSS, 400CN0065DSR,    40,    6, 400DN0058DSS,  3186,        M,   40,
400DN00590SS, 400CN0065DSR,    23,    5, 400DN0059DSS,  3172,        M,   23,
400DN00591SS, 400CN0065DSR,    13,    1, 400DN0059DSS,  3163,        M,   13,
400DN00592SS, 400CN0065DSR,    19,    1, 400DN0059DSS,  3164,        M,   19,
400DN00593SS, 400CN0065DSR,    14,    2, 400DN0059DSS,  3165,        M,   14,
400DN00594SS, 400CN0065DSR,    20,    2, 400DN0059DSS,  3166,        M,   20,
400DN00595SS, 400CN0065DSR,    15,    3, 400DN0059DSS,  3167,        M,   15,
400DN00596SS, 400CN0065DSR,    21,    3, 400DN0059DSS,  3168,        M,   21,
400DN00597SS, 400CN0065DSR,    16,    4, 400DN0059DSS,  3169,        M,   16,
400DN00598SS, 400CN0065DSR,    22,    4, 400DN0059DSS,  3170,        M,   22,
400DN00599SS, 400CN0065DSR,    17,    5, 400DN0059DSS,  3171,        M,   17,
400DN0059ASS, 400CN0065DSR,    18,    6, 400DN0059DSS,  3173,        M,   18,
400DN0059BSS, 400CN0065DSR,    24,    6, 400DN0059DSS,  3174,        M,   24,
400DN00600NS, 400CN0070ENR,    11,    5, 400DN0060DNS,  3150,        M,   11,
400DN00600SS, 400CN0065DSR,    11,    5, 400DN0060DSS,  3160,        M,   11,
400DN00601NR, 400CN0220DNR,    25,    1, 400DN0060DNR,  3899,        M,   25,
400DN00601NS, 400CN0070ENR,    1,    1, 400DN0060DNS,  3141,        M,   1,
400DN00601SC, 400CN0300DSR,    25,    1, 400DN0060DSC,  3441,        M,   25,
400DN00601SR, 400CN0190DSR,    25,    1, 400DN0060DSR,  3896,        M,   25,
400DN00601SS, 400CN0065DSR,    1,    1, 400DN0060DSS,  3151,        M,   1,
